policy_year,cap,selected_fraction,mean_selected_cap,p10_selected_cap,median_selected_cap,p90_selected_cap,economically_active,mean_inforce_exposure,source,action_index,policy_role
39,0.11,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.1262673901742663,independent_direct_policy_rollout,11,validated_deployed_policy
39,0.12,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.1262673901742663,independent_direct_policy_rollout,12,validated_deployed_policy
39,0.13,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.1262673901742663,independent_direct_policy_rollout,13,validated_deployed_policy
39,0.14,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.1262673901742663,independent_direct_policy_rollout,14,validated_deployed_policy
39,0.15000000000000002,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.1262673901742663,independent_direct_policy_rollout,15,validated_deployed_policy
39,0.16,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.1262673901742663,independent_direct_policy_rollout,16,validated_deployed_policy
39,0.17,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.1262673901742663,independent_direct_policy_rollout,17,validated_deployed_policy
39,0.18000000000000002,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.1262673901742663,independent_direct_policy_rollout,18,validated_deployed_policy
39,0.19,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.1262673901742663,independent_direct_policy_rollout,19,validated_deployed_policy
39,0.2,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.1262673901742663,independent_direct_policy_rollout,20,validated_deployed_policy
40,0.0025,1.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,0,validated_deployed_policy
40,0.01,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,1,validated_deployed_policy
40,0.02,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,2,validated_deployed_policy
40,0.03,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,3,validated_deployed_policy
40,0.04,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,4,validated_deployed_policy
40,0.05,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,5,validated_deployed_policy
40,0.060000000000000005,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,6,validated_deployed_policy
40,0.06999999999999999,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,7,validated_deployed_policy
40,0.08,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,8,validated_deployed_policy
40,0.09,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,9,validated_deployed_policy
40,0.09999999999999999,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,10,validated_deployed_policy
40,0.11,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,11,validated_deployed_policy
40,0.12,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,12,validated_deployed_policy
40,0.13,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,13,validated_deployed_policy
40,0.14,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,14,validated_deployed_policy
40,0.15000000000000002,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,15,validated_deployed_policy
40,0.16,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,16,validated_deployed_policy
40,0.17,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,17,validated_deployed_policy
40,0.18000000000000002,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,18,validated_deployed_policy
40,0.19,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,19,validated_deployed_policy
40,0.2,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.10524530126582038,independent_direct_policy_rollout,20,validated_deployed_policy
41,0.0025,1.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.0832159309817187,independent_direct_policy_rollout,0,validated_deployed_policy
41,0.01,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.0832159309817187,independent_direct_policy_rollout,1,validated_deployed_policy
41,0.02,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.0832159309817187,independent_direct_policy_rollout,2,validated_deployed_policy
41,0.03,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.0832159309817187,independent_direct_policy_rollout,3,validated_deployed_policy
41,0.04,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.0832159309817187,independent_direct_policy_rollout,4,validated_deployed_policy
41,0.05,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.0832159309817187,independent_direct_policy_rollout,5,validated_deployed_policy
41,0.060000000000000005,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.0832159309817187,independent_direct_policy_rollout,6,validated_deployed_policy
41,0.06999999999999999,0.0,0.0024999999999999996,0.0025,0.0025,0.0025,True,0.0832159309817187,independent_direct_policy_rollout,7,validated_deployed_policy
