policy_year,cap,training_path_count,condition_number,reachable_component_clip_fraction,fit_action_retained,fit_reasons,selected_policy_class,uses_all_paths,oos
9,0.01,195,10.967729559691053,0.09619047619047619,True,[],base_csm,True,False
9,0.02,202,9.42089523436095,0.07023809523809524,True,[],base_csm,True,False
9,0.03,196,8.046928173057841,0.08523809523809524,True,[],base_csm,True,False
9,0.04,196,6.8827415045273765,0.07214285714285715,True,[],base_csm,True,False
9,0.05,207,6.51226133176781,0.07904761904761905,True,[],base_csm,True,False
9,0.06,201,7.383768855141314,0.0719047619047619,True,[],base_csm,True,False
9,0.07,210,6.941590157551164,0.06690476190476191,True,[],base_csm,True,False
9,0.08,192,7.329189055212935,0.07738095238095238,True,[],base_csm,True,False
9,0.09,203,10.4234827567317,0.07095238095238095,True,[],base_csm,True,False
9,0.1,198,11.181324070950554,0.04238095238095238,True,[],base_csm,True,False
9,0.11,191,10.420340186855652,0.085,True,[],base_csm,True,False
9,0.12,207,10.457601437228075,0.04666666666666667,True,[],base_csm,True,False
9,0.13,182,10.216716195295774,0.06523809523809523,True,[],base_csm,True,False
9,0.14,192,13.427298424028496,0.05333333333333334,True,[],base_csm,True,False
9,0.15,198,9.746765445385867,0.06095238095238095,True,[],base_csm,True,False
9,0.16,204,11.563239996652825,0.045476190476190476,True,[],base_csm,True,False
9,0.17,199,12.400196924561277,0.06119047619047619,True,[],base_csm,True,False
9,0.18,209,14.278493499949032,0.04404761904761905,True,[],base_csm,True,False
9,0.19,195,10.344334657252759,0.09071428571428572,True,[],base_csm,True,False
9,0.2,206,8.622695325817059,0.06166666666666667,True,[],base_csm,True,False
10,0.0025,206,15.759417911505215,0.04833333333333333,True,[],base_csm,True,False
10,0.01,197,9.740814323745267,0.11714285714285715,True,[],base_csm,True,False
10,0.02,207,7.679904118438147,0.09142857142857143,True,[],base_csm,True,False
10,0.03,189,8.490858479642235,0.06571428571428571,True,[],base_csm,True,False
10,0.04,214,7.649001805628955,0.07642857142857143,True,[],base_csm,True,False
10,0.05,192,7.024473313571228,0.10833333333333334,True,[],base_csm,True,False
10,0.06,216,6.893689866652952,0.08523809523809524,True,[],base_csm,True,False
10,0.07,204,8.805440671402796,0.1019047619047619,True,[],base_csm,True,False
10,0.08,208,10.04298722961459,0.11404761904761905,True,[],base_csm,True,False
10,0.09,198,12.546642484281353,0.08261904761904762,True,[],base_csm,True,False
10,0.1,196,12.83748605329139,0.07785714285714286,True,[],base_csm,True,False
10,0.11,202,13.779547810612229,0.10095238095238095,True,[],base_csm,True,False
10,0.12,194,21.056674719916156,0.1488095238095238,True,[],base_csm,True,False
10,0.13,209,11.225208707365729,0.07809523809523809,True,[],base_csm,True,False
10,0.14,200,19.219936038177856,0.09904761904761905,True,[],base_csm,True,False
10,0.15,186,14.068942093028596,0.10547619047619047,True,[],base_csm,True,False
10,0.16,193,16.32109053552414,0.09404761904761905,True,[],base_csm,True,False
10,0.17,195,14.36451667473373,0.09380952380952381,True,[],base_csm,True,False
10,0.18,200,19.84846063771172,0.09785714285714285,True,[],base_csm,True,False
10,0.19,199,14.118352846753668,0.09476190476190476,True,[],base_csm,True,False
10,0.2,195,17.778627341898233,0.1130952380952381,True,[],base_csm,True,False
11,0.0025,206,14.910167672933019,0.0009523809523809524,True,[],base_csm,True,False
11,0.01,193,11.867710642493291,0.0011904761904761906,True,[],base_csm,True,False
11,0.02,210,12.12539433321788,0.0011904761904761906,True,[],base_csm,True,False
11,0.03,200,10.474473889547,0.0019047619047619048,True,[],base_csm,True,False
11,0.04,203,5.99372524949185,0.005714285714285714,True,[],base_csm,True,False
