crediting_cap_rate,crediting_cap_rate_percent,method,risk_metric,source_field,unit,adverse_direction,value,baseline_rate,baseline_value,delta_vs_baseline,finite_difference_scheme,finite_difference_lower_cap_rate,finite_difference_upper_cap_rate,finite_difference_span_bp,finite_difference_change_per_100bp,finite_difference_change_per_100bp_percentage_points,finite_difference_change_per_100bp_as_percent_of_premium,adverse_finite_difference_change_per_100bp,finite_difference_change_as_fraction_of_current_value
0.01,1.0,dynamic,pv_post_election_guarantee_claims_aud,dynamic_pv_post_election_guarantee_claims_aud,AUD,higher_is_adverse,67639.42714860177,0.06,56928.72381528938,10710.70333331239,bracketing_secant,0.0025,0.06,575.0,-2046.888064792566,,-0.6074173084981597,-2046.888064792566,-0.030261759318209704
0.06,6.0,dynamic,pv_post_election_guarantee_claims_aud,dynamic_pv_post_election_guarantee_claims_aud,AUD,higher_is_adverse,56928.72381528938,0.06,56928.72381528938,0.0,bracketing_secant,0.01,0.12,1100.0,-1938.3885560231865,,-0.5752199056583772,-1938.3885560231865,-0.03404939415667337
0.12,12.0,dynamic,pv_post_election_guarantee_claims_aud,dynamic_pv_post_election_guarantee_claims_aud,AUD,higher_is_adverse,46317.153032346716,0.06,56928.72381528938,-10611.570782942661,backward_secant,0.06,0.12,600.0,-1768.5951304904436,,-0.5248334349413117,-1768.5951304904436,-0.038184452512772145
0.0025,0.25,dynamic,pv_expenses_aud,dynamic_pv_expenses_aud,AUD,higher_is_adverse,9220.023549088291,0.06,9672.985170114653,-452.9616210263612,forward_secant,0.0025,0.01,75.0,78.42229834286022,,0.023271942518501728,78.42229834286022,0.008505650546913721
0.01,1.0,dynamic,pv_expenses_aud,dynamic_pv_expenses_aud,AUD,higher_is_adverse,9278.840272845437,0.06,9672.985170114653,-394.144897269216,bracketing_secant,0.0025,0.06,575.0,78.77593409154107,,0.023376884492783176,78.77593409154107,0.00848984698250267
0.06,6.0,dynamic,pv_expenses_aud,dynamic_pv_expenses_aud,AUD,higher_is_adverse,9672.985170114653,0.06,9672.985170114653,0.0,bracketing_secant,0.01,0.12,1100.0,59.724623140719736,,0.01772337748370198,59.724623140719736,0.006174373483507763
0.12,12.0,dynamic,pv_expenses_aud,dynamic_pv_expenses_aud,AUD,higher_is_adverse,9935.811127393354,0.06,9672.985170114653,262.825957278701,backward_secant,0.06,0.12,600.0,43.80432621311684,,0.012999003896015804,43.80432621311684,0.004408731773528473
0.0025,0.25,dynamic,pv_hedge_costs_aud,dynamic_pv_hedge_costs_aud,AUD,higher_is_adverse,12755.273071925712,0.06,136241.2130182698,-123485.9399463441,forward_secant,0.0025,0.01,75.0,21104.728173692707,,6.262861855686689,21104.728173692707,1.6545885027067042
0.01,1.0,dynamic,pv_hedge_costs_aud,dynamic_pv_hedge_costs_aud,AUD,higher_is_adverse,28583.81920219524,0.06,136241.2130182698,-107657.39381607456,bracketing_secant,0.0025,0.06,575.0,21475.815642842455,,6.372982655942162,21475.815642842455,0.751327717647791
0.06,6.0,dynamic,pv_hedge_costs_aud,dynamic_pv_hedge_costs_aud,AUD,higher_is_adverse,136241.2130182698,0.06,136241.2130182698,0.0,bracketing_secant,0.01,0.12,1100.0,16351.814397945667,,4.852427087491065,16351.814397945667,0.12002105703325547
